/usr/lib/python3.10/runpy.py:126: RuntimeWarning: 'extraction.extraction_engine' found in sys.modules after import of package 'extraction', but prior to execution of 'extraction.extraction_engine'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
2025-12-06 02:00:33,795 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,795 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,795 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,796 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,796 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,796 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,797 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,870 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,870 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,870 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,871 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,871 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,871 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,871 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,872 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,872 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,872 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,944 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,944 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,944 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,944 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,944 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,944 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,945 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,945 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,945 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,945 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Chunk 0 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,016 - extraction.graffiti_client - ERROR - Chunk 1 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 2 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 3 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 4 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 5 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 6 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 7 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 8 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 9 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 10 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 11 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 12 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 13 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 14 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 15 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 16 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 17 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 18 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 19 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 20 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 21 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 22 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 23 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 24 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 25 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 26 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 27 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 28 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 29 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 30 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 31 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 32 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 33 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 34 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 35 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - extraction.graffiti_client - ERROR - Chunk 36 failed: [Errno -2] Name or service not known
2025-12-06 02:00:34,017 - __main__ - WARNING - Graffiti failed for 029_Arya_2025_f65a964a: All chunks failed extraction
2025-12-06 02:00:34,017 - __main__ - INFO - Trying LLM fallback for 029_Arya_2025_f65a964a
2025-12-06 02:00:34,017 - extraction.llm_fallback - INFO - Split text into 1 chunks for LLM
2025-12-06 02:00:34,017 - extraction.llm_fallback - INFO - LLM extracting from 1 chunks
2025-12-06 02:00:34,017 - extraction.llm_fallback - INFO - Processing chunk 1/1
2025-12-06 02:00:34,655 - httpx - INFO - HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-06 02:00:34,740 - httpx - INFO - HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-06 02:00:35,021 - httpx - INFO - HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-06 02:00:35,101 - httpx - INFO - HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-06 02:00:37,275 - extraction.llm_fallback - INFO - LLM merged: 6 entities, 4 relations, 1 claims
2025-12-06 02:00:37,275 - __main__ - INFO - Extraction successful via llm
2025-12-06 02:00:37,275 - extraction.schema - INFO - Validated: 6 entities, 4 relations
2025-12-06 02:00:37,275 - extraction.triple_builder - INFO - Building triples for paper: 009_Ramaraj_2025_adba03b2
2025-12-06 02:00:37,275 - extraction.triple_builder - INFO - Deduplicated 6 → 6 entities
2025-12-06 02:00:37,276 - extraction.triple_builder - INFO - Created 1 result entities from claims
2025-12-06 02:00:37,276 - extraction.triple_builder - INFO - Built 4 relations
2025-12-06 02:00:37,276 - extraction.triple_builder - INFO - Generated 6 triples
2025-12-06 02:00:37,276 - extraction.triple_builder - INFO - Built: 7 entities, 6 relations, 6 triples
2025-12-06 02:00:37,276 - extraction.triple_builder - WARNING - Relation references unknown target: Dermatologists
2025-12-06 02:00:37,276 - extraction.triple_builder - WARNING - Relation references unknown source: Esteva et al. (2017)
2025-12-06 02:00:37,276 - extraction.triple_builder - WARNING - Relation references unknown source: Esteva et al. (2017)
2025-12-06 02:00:37,277 - __main__ - INFO - Saved 009_Ramaraj_2025_adba03b2: 7 entities, 6 relations, 6 triples
2025-12-06 02:00:37,277 - __main__ - INFO - ✅ Success: 009_Ramaraj_2025_adba03b2
2025-12-06 02:00:37,277 - __main__ - INFO - Extracting: 028_Saleh_2025_6dbefc04
2025-12-06 02:00:37,277 - extraction.graffiti_client - INFO - Split text into 25 chunks
2025-12-06 02:00:37,277 - extraction.graffiti_client - INFO - Extracting from 25 chunks
2025-12-06 02:00:37,363 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,363 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,364 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,364 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,364 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,364 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,364 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,365 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,365 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,365 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,455 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,455 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,456 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,537 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,537 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,537 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:37,537 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
